Month,Year,Products,Quantity (000 Metric Tonnes),updated_date
January,2023,BITUMEN,436.75,29-04-2024
February,2023,MS-VI,2182.5,29-04-2024
February,2023,HSD Others,2439.95,29-04-2024
February,2023,LDO,54.27,29-04-2024
March,2023,MS-VI,2419.18,29-04-2024
March,2023,HSD-VI,7519.69,29-04-2024
March,2023,LSHS,74.24,29-04-2024
March,2023,Others,2963.41,29-04-2024
April,2023,NAPHTHA,1376.5,29-04-2024
April,2023,SKO,31.55,29-04-2024
April,2023,LUBES,117.1,29-04-2024
April,2023,FO,982.75,29-04-2024
April,2023,BITUMEN,537.58,29-04-2024
May,2023,LPG,1144.48,29-04-2024
May,2023,HSD-VI,7433.14,29-04-2024
May,2023,FO,746.03,29-04-2024
July,2023,HSD-VI,6830.01,29-04-2024
July,2023,LUBES,120.06,29-04-2024
August,2023,NAPHTHA,1548.79,29-04-2024
August,2023,HSD-VI,6800.97,29-04-2024
September,2023,LPG,878.52,29-04-2024
September,2023,SKO,107.51,29-04-2024
October,2023,BITUMEN,436.03,29-04-2024
October,2023,RPC/Petcoke,1090.83,29-04-2024
November,2023,LDO,50.58,29-04-2024
November,2023,LUBES,117.03,29-04-2024
November,2023,BITUMEN,384.13,29-04-2024
December,2023,SKO,104.07,29-04-2024
December,2023,LDO,54.66,29-04-2024
December,2023,BITUMEN,460.83,29-04-2024
December,2023,Others,3038.01,29-04-2024
January,2024,MS Others,1316.95,29-04-2024
January,2024,HSD-VI,7012.89,29-04-2024
February,2024,MS-VI,2281.54,29-04-2024
February,2024,MS Others,1389.28,29-04-2024
February,2024,ATF,1446.7,29-04-2024
February,2024,SKO,25.07,29-04-2024
February,2024,LDO,25.71,29-04-2024
February,2024,FO,707.55,29-04-2024
March,2024,MS-VI,2664.95,29-04-2024
March,2024,HSD Others,2616.2,29-04-2024
March,2024,Others,3190.01,29-04-2024
April,2022,MS-VI,2347.81,29-04-2024
April,2022,ATF,1010.21,29-04-2024
April,2022,BITUMEN,547.64,29-04-2024
April,2022,RPC/Petcoke,1313.98,29-04-2024
May,2022,LPG,1131.1,29-04-2024
May,2022,NAPHTHA,1511.55,29-04-2024
May,2022,ATF,1114.57,29-04-2024
May,2022,FO,886.47,29-04-2024
May,2022,Others,2618.19,29-04-2024
July,2022,HSD-VI,6589.46,29-04-2024
July,2022,LDO,83.26,29-04-2024
July,2022,RPC/Petcoke,1311.27,29-04-2024
August,2022,LPG,950.72,29-04-2024
August,2022,MS-VI,2213.92,29-04-2024
August,2022,FO,965.63,29-04-2024
August,2022,BITUMEN,195.25,29-04-2024
September,2022,HSD Others,2587.7,29-04-2024
September,2022,FO,814.82,29-04-2024
October,2022,MS-VI,2458.42,29-04-2024
October,2022,FO,989.55,29-04-2024
October,2022,Others,2132.14,29-04-2024
November,2022,HSD-VI,6051.47,29-04-2024
November,2022,HSD Others,2394.05,29-04-2024
November,2022,LSHS,55.21,29-04-2024
November,2022,Others,2504.03,29-04-2024
December,2022,HSD Others,2759.51,29-04-2024
December,2022,LDO,41.73,29-04-2024
December,2022,BITUMEN,448.9,29-04-2024
January,2023,LPG,1119.04,29-04-2024
January,2023,NAPHTHA,1528.16,29-04-2024
January,2023,HSD-VI,7506.72,29-04-2024
February,2023,ATF,1323.31,29-04-2024
February,2023,FO,713.27,29-04-2024
February,2023,RPC/Petcoke,1248.8,29-04-2024
February,2023,Others,2539.95,29-04-2024
March,2023,LUBES,269.04,29-04-2024
March,2023,BITUMEN,621.5,29-04-2024
March,2023,RPC/Petcoke,1390.45,29-04-2024
April,2023,MS Others,1440.15,29-04-2024
April,2023,ATF,1349.18,29-04-2024
May,2023,NAPHTHA,1616.2,29-04-2024
May,2023,LDO,41.72,29-04-2024
May,2023,LSHS,64.67,29-04-2024
May,2023,RPC/Petcoke,1375.4,29-04-2024
May,2023,Others,2844.66,29-04-2024
June,2023,ATF,1383.14,29-04-2024
June,2023,SKO,79.76,29-04-2024
June,2023,BITUMEN,470.84,29-04-2024
July,2023,NAPHTHA,1474.03,29-04-2024
July,2023,HSD Others,2680.62,29-04-2024
July,2023,LSHS,67.61,29-04-2024
July,2023,BITUMEN,268.44,29-04-2024
August,2023,SKO,105.2,29-04-2024
August,2023,BITUMEN,282.43,29-04-2024
August,2023,Others,2710.48,29-04-2024
September,2023,NAPHTHA,1378.92,29-04-2024
September,2023,ATF,1278.43,29-04-2024
September,2023,LUBES,95.82,29-04-2024
September,2023,BITUMEN,277.59,29-04-2024
September,2023,RPC/Petcoke,1149.52,29-04-2024
October,2023,LPG,958.52,29-04-2024
October,2023,HSD-VI,6792.82,29-04-2024
October,2023,HSD Others,2619.01,29-04-2024
October,2023,LDO,64.91,29-04-2024
October,2023,FO,649.83,29-04-2024
November,2023,LPG,1069.79,29-04-2024
November,2023,MS-VI,2480.85,29-04-2024
November,2023,FO,638.4,29-04-2024
November,2023,Others,2745.63,29-04-2024
December,2023,ATF,1502.6,29-04-2024
December,2023,LUBES,114.17,29-04-2024
December,2023,LSHS,43.74,29-04-2024
January,2024,HSD Others,2505.54,29-04-2024
January,2024,FO,710.25,29-04-2024
January,2024,BITUMEN,455.24,29-04-2024
January,2024,RPC/Petcoke,1284.41,29-04-2024
January,2024,Others,2587.3,29-04-2024
February,2024,NAPHTHA,1642.29,29-04-2024
February,2024,HSD-VI,6837.83,29-04-2024
February,2024,Others,2520.17,29-04-2024
March,2024,MS Others,1464.12,29-04-2024
March,2024,SKO,98.24,29-04-2024
April,2022,LPG,1093.25,29-04-2024
April,2022,MS Others,1292.5,29-04-2024
April,2022,HSD Others,2902.9,29-04-2024
May,2022,HSD-VI,6898.01,29-04-2024
May,2022,LSHS,66.94,29-04-2024
May,2022,BITUMEN,509,29-04-2024
June,2022,MS-VI,2394.6,29-04-2024
June,2022,ATF,1179.8,29-04-2024
June,2022,HSD-VI,6858.39,29-04-2024
June,2022,HSD Others,2711.83,29-04-2024
June,2022,Others,2413.87,29-04-2024
July,2022,HSD Others,2724.29,29-04-2024
July,2022,LSHS,33.72,29-04-2024
August,2022,ATF,1204.66,29-04-2024
August,2022,HSD Others,2745.65,29-04-2024
August,2022,RPC/Petcoke,1216.23,29-04-2024
August,2022,Others,2603.09,29-04-2024
September,2022,MS Others,878.4,29-04-2024
September,2022,SKO,68.94,29-04-2024
October,2022,LPG,1154.43,29-04-2024
October,2022,NAPHTHA,1207.88,29-04-2024
October,2022,MS Others,882.04,29-04-2024
October,2022,HSD-VI,7041.12,29-04-2024
October,2022,HSD Others,1979.58,29-04-2024
October,2022,LUBES,109.93,29-04-2024
November,2022,NAPHTHA,1239.29,29-04-2024
November,2022,SKO,66.99,29-04-2024
November,2022,LDO,57.09,29-04-2024
November,2022,LUBES,116.29,29-04-2024
December,2022,HSD-VI,7235.03,29-04-2024
December,2022,LUBES,130.09,29-04-2024
December,2022,Others,3212.57,29-04-2024
January,2023,MS-VI,2365.84,29-04-2024
January,2023,SKO,77.73,29-04-2024
January,2023,HSD Others,2696.6,29-04-2024
January,2023,LUBES,125.75,29-04-2024
January,2023,FO,790.86,29-04-2024
January,2023,RPC/Petcoke,1439.45,29-04-2024
January,2023,Others,2957.01,29-04-2024
February,2023,NAPHTHA,1368.98,29-04-2024
February,2023,MS Others,1344.42,29-04-2024
April,2023,LPG,1112.97,29-04-2024
April,2023,MS-VI,2177.77,29-04-2024
April,2023,HSD-VI,7155.18,29-04-2024
April,2023,LDO,40.66,29-04-2024
April,2023,LSHS,85.82,29-04-2024
April,2023,RPC/Petcoke,1178.12,29-04-2024
May,2023,MS Others,1437.9,29-04-2024
May,2023,SKO,98.43,29-04-2024
May,2023,HSD Others,2648.91,29-04-2024
May,2023,LUBES,117.97,29-04-2024
June,2023,RPC/Petcoke,1245.46,29-04-2024
June,2023,Others,2693.54,29-04-2024
July,2023,LPG,1101.04,29-04-2024
July,2023,RPC/Petcoke,1330.88,29-04-2024
August,2023,ATF,1482.34,29-04-2024
August,2023,LDO,78.74,29-04-2024
September,2023,HSD-VI,6344.44,29-04-2024
September,2023,FO,991.23,29-04-2024
September,2023,LSHS,66.65,29-04-2024
October,2023,ATF,1293.19,29-04-2024
October,2023,LUBES,123.88,29-04-2024
November,2023,NAPHTHA,1472.76,29-04-2024
November,2023,ATF,1409.7,29-04-2024
November,2023,HSD Others,2797.48,29-04-2024
December,2023,MS Others,1511.27,29-04-2024
December,2023,HSD-VI,7301.8,29-04-2024
January,2024,LPG,1114.34,29-04-2024
January,2024,MS-VI,2436.17,29-04-2024
January,2024,LDO,47.85,29-04-2024
February,2024,LSHS,81.75,29-04-2024
February,2024,BITUMEN,522.52,29-04-2024
February,2024,RPC/Petcoke,1199.32,29-04-2024
March,2024,LDO,67.1,29-04-2024
March,2024,FO,802.81,29-04-2024
March,2024,LSHS,30.74,29-04-2024
March,2024,RPC/Petcoke,1358.09,29-04-2024
April,2022,SKO,119.58,29-04-2024
April,2022,HSD-VI,6903.99,29-04-2024
April,2022,LDO,59.92,29-04-2024
May,2022,MS Others,1283.87,29-04-2024
May,2022,HSD Others,3221.32,29-04-2024
June,2022,NAPHTHA,1541.4,29-04-2024
June,2022,SKO,92.68,29-04-2024
June,2022,LSHS,50.12,29-04-2024
July,2022,NAPHTHA,1421.19,29-04-2024
July,2022,MS-VI,2466.66,29-04-2024
July,2022,BITUMEN,247.94,29-04-2024
July,2022,Others,2640.84,29-04-2024
August,2022,LUBES,101.41,29-04-2024
September,2022,MS-VI,2230.69,29-04-2024
September,2022,LUBES,107.77,29-04-2024
September,2022,LSHS,31.12,29-04-2024
September,2022,Others,2163.36,29-04-2024
October,2022,LSHS,49.73,29-04-2024
October,2022,BITUMEN,343.86,29-04-2024
November,2022,LPG,979.95,29-04-2024
November,2022,MS Others,1084.42,29-04-2024
November,2022,BITUMEN,440.03,29-04-2024
December,2022,MS-VI,2386.63,29-04-2024
December,2022,ATF,1343.5,29-04-2024
January,2023,MS Others,1456.01,29-04-2024
January,2023,ATF,1408.16,29-04-2024
February,2023,LPG,1005.14,29-04-2024
February,2023,HSD-VI,6922.13,29-04-2024
February,2023,LSHS,75.35,29-04-2024
February,2023,BITUMEN,445.19,29-04-2024
March,2023,NAPHTHA,1487.28,29-04-2024
March,2023,MS Others,1631.96,29-04-2024
March,2023,SKO,99.2,29-04-2024
