Month,Year,Refinery,Quantity_000MT,Date
April,2025,"MRPL-MANGALORE,KARNATAKA",1511.651,01-04-2025
May,2025,"MRPL-MANGALORE,KARNATAKA",1168.508,01-05-2025
June,2025,"MRPL-MANGALORE,KARNATAKA",736.723,01-06-2025
July,2025,"MRPL-MANGALORE,KARNATAKA",1520.944,01-07-2025
August,2025,"MRPL-MANGALORE,KARNATAKA",1484.088,01-08-2025
September,2025,"MRPL-MANGALORE,KARNATAKA",1387.217,01-09-2025
October,2025,"MRPL-MANGALORE,KARNATAKA",1543.826,01-10-2025
November,2025,"MRPL-MANGALORE,KARNATAKA",1474.298,01-11-2025
December,2025,"MRPL-MANGALORE,KARNATAKA",1543.274,01-12-2025
January,2026,"MRPL-MANGALORE,KARNATAKA",1531.877,01-01-2026
February,2026,"MRPL-MANGALORE,KARNATAKA",1396.924,01-02-2026
March,2026,"MRPL-MANGALORE,KARNATAKA",1474.574,01-03-2026
April,2025,"HPCL-MUMBAI,MAHARASHTRA",831.025,01-04-2025
May,2025,"HPCL-MUMBAI,MAHARASHTRA",848.201,01-05-2025
June,2025,"HPCL-MUMBAI,MAHARASHTRA",827.877,01-06-2025
July,2025,"HPCL-MUMBAI,MAHARASHTRA",855.288,01-07-2025
August,2025,"HPCL-MUMBAI,MAHARASHTRA",881.751,01-08-2025
September,2025,"HPCL-MUMBAI,MAHARASHTRA",846.603,01-09-2025
October,2025,"HPCL-MUMBAI,MAHARASHTRA",705.73,01-10-2025
November,2025,"HPCL-MUMBAI,MAHARASHTRA",835.397,01-11-2025
December,2025,"HPCL-MUMBAI,MAHARASHTRA",828.48,01-12-2025
January,2026,"HPCL-MUMBAI,MAHARASHTRA",827.907,01-01-2026
February,2026,"HPCL-MUMBAI,MAHARASHTRA",822.931,01-02-2026
March,2026,"HPCL-MUMBAI,MAHARASHTRA",895.501,01-03-2026
April,2025,"HPCL-VISAKH,ANDHRA PRADESH",1411.539,01-04-2025
May,2025,"HPCL-VISAKH,ANDHRA PRADESH",1444.274,01-05-2025
June,2025,"HPCL-VISAKH,ANDHRA PRADESH",1299.701,01-06-2025
July,2025,"HPCL-VISAKH,ANDHRA PRADESH",1381.059,01-07-2025
August,2025,"HPCL-VISAKH,ANDHRA PRADESH",1339.47,01-08-2025
September,2025,"HPCL-VISAKH,ANDHRA PRADESH",1263.947,01-09-2025
October,2025,"HPCL-VISAKH,ANDHRA PRADESH",1359.734,01-10-2025
November,2025,"HPCL-VISAKH,ANDHRA PRADESH",1300.018,01-11-2025
December,2025,"HPCL-VISAKH,ANDHRA PRADESH",1345.98,01-12-2025
January,2026,"HPCL-VISAKH,ANDHRA PRADESH",1296.296,01-01-2026
February,2026,"HPCL-VISAKH,ANDHRA PRADESH",1226.142,01-02-2026
March,2026,"HPCL-VISAKH,ANDHRA PRADESH",1368.339,01-03-2026
April,2025,"HMEL-GGSR, BATHINDA, PUNJAB",1066.689,01-04-2025
May,2025,"HMEL-GGSR, BATHINDA, PUNJAB",1113.21,01-05-2025
June,2025,"HMEL-GGSR, BATHINDA, PUNJAB",1074.464,01-06-2025
July,2025,"HMEL-GGSR, BATHINDA, PUNJAB",894.456,01-07-2025
August,2025,"HMEL-GGSR, BATHINDA, PUNJAB",1056.994,01-08-2025
September,2025,"HMEL-GGSR, BATHINDA, PUNJAB",965.867,01-09-2025
October,2025,"HMEL-GGSR, BATHINDA, PUNJAB",1084.286,01-10-2025
November,2025,"HMEL-GGSR, BATHINDA, PUNJAB",443.251,01-11-2025
December,2025,"HMEL-GGSR, BATHINDA, PUNJAB",640.372,01-12-2025
January,2026,"HMEL-GGSR, BATHINDA, PUNJAB",1154.643,01-01-2026
February,2026,"HMEL-GGSR, BATHINDA, PUNJAB",989.397,01-02-2026
March,2026,"HMEL-GGSR, BATHINDA, PUNJAB",1170.552,01-03-2026
April,2025,"RIL,JAMNAGAR,GUJARAT",1550.69,01-04-2025
May,2025,"RIL,JAMNAGAR,GUJARAT",2896.788,01-05-2025
June,2025,"RIL,JAMNAGAR,GUJARAT",2873.408,01-06-2025
July,2025,"RIL,JAMNAGAR,GUJARAT",2995.919,01-07-2025
August,2025,"RIL,JAMNAGAR,GUJARAT",3000.071,01-08-2025
September,2025,"RIL,JAMNAGAR,GUJARAT",2926.131,01-09-2025
October,2025,"RIL,JAMNAGAR,GUJARAT",2987.272,01-10-2025
November,2025,"RIL,JAMNAGAR,GUJARAT",2928.307,01-11-2025
December,2025,"RIL,JAMNAGAR,GUJARAT",3023.006,01-12-2025
January,2026,"RIL,JAMNAGAR,GUJARAT",2915.763,01-01-2026
February,2026,"RIL,JAMNAGAR,GUJARAT",2675.091,01-02-2026
March,2026,"RIL,JAMNAGAR,GUJARAT",2873.916,01-03-2026
April,2025,"RIL-(SEZ), JAMNAGAR,GUJARAT",3113.425,01-04-2025
May,2025,"RIL-(SEZ), JAMNAGAR,GUJARAT",2875.896,01-05-2025
June,2025,"RIL-(SEZ), JAMNAGAR,GUJARAT",2736.761,01-06-2025
July,2025,"RIL-(SEZ), JAMNAGAR,GUJARAT",2830.001,01-07-2025
August,2025,"RIL-(SEZ), JAMNAGAR,GUJARAT",2868.458,01-08-2025
September,2025,"RIL-(SEZ), JAMNAGAR,GUJARAT",2622.0,01-09-2025
October,2025,"RIL-(SEZ), JAMNAGAR,GUJARAT",2577.569,01-10-2025
November,2025,"RIL-(SEZ), JAMNAGAR,GUJARAT",2778.215,01-11-2025
December,2025,"RIL-(SEZ), JAMNAGAR,GUJARAT",3185.531,01-12-2025
January,2026,"RIL-(SEZ), JAMNAGAR,GUJARAT",2850.715,01-01-2026
February,2026,"RIL-(SEZ), JAMNAGAR,GUJARAT",2700.757,01-02-2026
March,2026,"RIL-(SEZ), JAMNAGAR,GUJARAT",2543.005,01-03-2026
